contract_id,client_id,client_name,product,start_date,end_date,annual_premium,status,city_postal,risk_zone,client_age,channel,csp,gender
CTR_000001,CLI_000001,Pascal Dubois,Life,11/08/2023,2024-09-08,1974.98€,Renewed,Paris_75001,High,50.0,Agency,,F
CTR_000002,CLI_000002,Sophie Simon,Auto,2025-08-12,2026-08-15,€620.93,Active,Bordeaux_33000,Medium,43.0,Phone,Worker,F
CTR_000003,CLI_000003,Olivier Durand,Auto,2025-06-14,2026-06-30,$1568.11,Suspended,Paris_75001,High,63.0,Broker,,Male
CTR_000004,CLI_000004,Sandrine Michel,Life,04/17/2023,2024-04-20,€1752.17,Renewed,Bordeaux_33000,Medium,54.0,Broker,Manager,Male
CTR_000005,CLI_000005,Pierre Durand,Auto,2025-03-02,2026-02-26,$977.59,Suspended,Marseille_13000,Medium,39.0,Web,Employee,M
CTR_000006,CLI_000006,Sophie Bertrand,Home,2023-06-10,2024-06-05,549.89€,Renewed,Paris_75001,High,39.0,Broker,Worker,F
CTR_000007,CLI_000007,Sophie Garcia,Auto,2024-04-18,2025-03-15,681.51€,Renewed,Bordeaux_33000,Medium,32.0,Agency,Worker,M
CTR_000008,CLI_000008,Pierre Michel,Home,14-07-2023,2024-07-13,579.32€,Cancelled,Lyon_69000,High,48.0,Agency,Worker,M
CTR_000009,CLI_000009,Pascal Simon,Home,2024-12-13,2025-12-24,229.20€,Suspended,Dijon_21000,Low,45.0,Agency,Employee,Male
CTR_000010,CLI_000010,Sandrine Michel,Home,2024-01-03,2025-01-13,312.56€,Expired,Bordeaux_33000,Medium,27.0,Phone,Manager,M
CTR_000011,CLI_000011,Catherine Bertrand,Home,2024-10-30,14-12-2025,273.30€,Active,Dijon_21000,Low,37.0,Web,Employee,Female
CTR_000012,CLI_000012,David Thomas,Auto,2024-03-16,2025-04-20,878.30 EUR,Cancelled,Marseille_13000,Medium,41.0,Phone,Worker,
CTR_000013,CLI_000013,Isabelle Dubois,Auto,2025-01-08,2026-01-21,1048.35 euros,Active,Lyon_69000,High,54.0,Web,,M
CTR_000014,CLI_000014,Sandrine Durand,Home,2024-04-28,20-04-2025,$576.80,Expired,Paris_75001,High,30.0,Web,,Female
CTR_000015,CLI_000015,Catherine Leroy,Auto,2024-06-16,14-06-2025,702.71€,Cancelled,Toulouse_31000,Medium,53.0,Agency,Employee,F
CTR_000016,CLI_000016,David Moreau,Auto,2024-07-18,17/08/2025,967,Expired,Lyon_69000,High,47.0,Agency,Self_employed,F
CTR_000017,CLI_000017,Pierre Leroy,Health,16-06-2024,2025-04-20,$1244.37,Expired,Toulouse_31000,Medium,27.0,Broker,Worker,Male
CTR_000018,CLI_000018,Sophie Martin,Auto,2023-09-19,2024-08-05,732.30€,Cancelled,Bordeaux_33000,Medium,36.0,Web,,
CTR_000019,CLI_000019,Marie Bertrand,Auto,07/11/2025,2026-07-23,1242.54€,Active,Lyon_69000,High,48.0,Phone,Manager,F
CTR_000020,CLI_000020,Pascal Garcia,Life,2025-01-01,2026-01-12,1495.13€,Suspended,Marseille_13000,Medium,40.0,Agency,Worker,
CTR_000021,CLI_000021,Marie Dubois,Life,2025-03-19,2026-01-23,1692.42€,Suspended,Bordeaux_33000,Medium,57.0,Phone,Manager,
CTR_000022,CLI_000022,Jean Michel,Auto,2024-04-05,20/02/2025,473.95€,Renewed,Dijon_21000,Low,56.0,Phone,Employee,Male
CTR_000023,CLI_000023,Sophie Michel,Auto,2023-04-21,28-05-2024,528.27€,Renewed,Nantes_44000,Low,,Phone,Worker,Male
CTR_000024,CLI_000024,Pierre Garcia,Auto,14/03/2024,2025-04-08,744.06€,Cancelled,Toulouse_31000,Medium,56.0,Phone,Worker,F
CTR_000025,CLI_000025,Nicolas Thomas,Life,2024-12-10,2025-11-26,1957,Suspended,Paris_75001,High,54.0,Broker,Employee,F
CTR_000026,CLI_000026,Sophie Bertrand,Auto,2022-12-01,2024-01-19,1128.71€,Expired,Lyon_69000,High,61.0,Web,Worker,M
CTR_000027,CLI_000027,Nicolas Bertrand,Life,2023-04-11,2024-04-27,1875.33€,Renewed,Paris_75001,High,49.0,Web,,F
CTR_000028,CLI_000028,Nicolas Durand,Home,2023-04-15,2024-04-17,427.25€,Expired,Marseille_13000,Medium,63.0,Agency,,Male
CTR_000029,CLI_000029,Pierre Laurent,Auto,2025-08-08,2026-08-06,883.02€,Active,Marseille_13000,Medium,46.0,Web,Worker,Female
CTR_000030,CLI_000030,Jean Simon,Health,2024-03-15,2025-04-21,1079.66€,Cancelled,Dijon_21000,Low,41.0,Agency,Manager,Male
CTR_000031,CLI_000031,David Petit,Auto,2024-08-16,11-07-2025,531.71€,Renewed,Nantes_44000,Low,62.0,Phone,Worker,M
CTR_000032,CLI_000032,Laurent Petit,Auto,2024-07-10,2025-07-24,899.07€,Cancelled,Lyon_69000,High,38.0,Web,Self_employed,Male
CTR_000033,CLI_000033,David Michel,Life,2024-01-21,2024-12-14,€1749.26,Renewed,Nantes_44000,Low,55.0,Agency,Employee,Female
CTR_000034,CLI_000034,Christine Bertrand,Life,2025-08-07,2026-06-24,1889.27€,Suspended,Dijon_21000,Low,48.0,Web,Worker,M
CTR_000035,CLI_000035,Olivier Bertrand,Auto,17-03-2023,2024-03-05,543.67€,Expired,Dijon_21000,Low,36.0,Web,Worker,
CTR_000036,CLI_000036,David Laurent,Life,2023-02-18,2024-01-24,1968.18€,Renewed,Marseille_13000,Medium,41.0,Phone,Worker,Male
CTR_000037,CLI_000037,Olivier David,Home,2024-05-03,2025-05-31,319.98 EUR,Cancelled,Bordeaux_33000,Medium,45.0,Agency,Manager,F
CTR_000038,CLI_000038,Nicolas Garcia,Auto,2023-09-28,2024-10-05,$1069.69,Expired,Lyon_69000,High,42.0,Agency,Employee,
CTR_000039,CLI_000039,Nicolas Moreau,Home,2023-02-20,2024-02-29,648.72€,Renewed,Paris_75001,High,43.0,Web,Self_employed,Male
CTR_000040,CLI_000040,Nicolas Moreau,Auto,07-09-2024,19/09/2025,1426.46€,Renewed,Paris_75001,High,49.0,Agency,,Female
CTR_000041,CLI_000041,Pierre Bertrand,Auto,2025-03-16,2026-03-21,847.34€,Active,Toulouse_31000,Medium,21.0,Broker,Employee,M
CTR_000042,CLI_000042,Isabelle Martin,Home,2024-03-05,2025-04-09,320.34€,Expired,Nantes_44000,Low,44.0,Web,Self_employed,
CTR_000043,CLI_000043,Pierre Robert,Auto,2024-06-03,2025-05-27,1035.61€,Cancelled,Lyon_69000,High,42.0,Agency,Employee,F
CTR_000044,CLI_000044,Laurent Dubois,Health,2025-08-24,08/11/2026,1076.19 EUR,Suspended,Bordeaux_33000,Medium,48.0,Agency,Worker,
CTR_000045,CLI_000045,Olivier Martin,Auto,2024-03-02,19-03-2025,960.33€,Renewed,Marseille_13000,Medium,58.0,Phone,Self_employed,Female
